,State,Median Income (2019),2019 Population,Population (2019),Total Murders (2019)
0,Alabama,56200,731545,731545,4
1,Alaska,78394,7278717,7278717,69
2,Arizona,70674,3017804,3017804,337
3,Arkansas,54539,39512223,39512223,231
4,California,78105,5758736,5758736,1679
5,Colorado,72499,3565287,3565287,209
6,Connecticut,87291,973764,973764,104
7,Delaware,74194,705749,705749,48
8,District of Columbia,93111,21477737,21477737,166
9,Florida,58368,10617423,10617423,1
10,Georgia,56628,1415872,1415872,445
11,Hawaii,88006,1787065,1787065,32
12,Idaho,65988,12671821,12671821,35
13,Illinois,74399,6732219,6732219,771
14,Indiana,66693,3155070,3155070,247
15,Iowa,66054,2913314,2913314,58
16,Kansas,73151,4467673,4467673,93
17,Kentucky,55662,4648794,4648794,221
18,Louisiana,51707,1344212,1344212,522
19,Maine,66546,6045680,6045680,20
20,Maryland,95572,6892503,6892503,551
21,Massachusetts,87707,9986857,9986857,146
22,Michigan,64119,5639632,5639632,551
23,Minnesota,81426,2976149,2976149,114
24,Mississippi,44787,6137428,6137428,189
25,Missouri,60597,1068778,1068778,566
26,Montana,60195,1934408,1934408,27
27,Nebraska,73071,3080156,3080156,45
28,Nevada,70906,1359711,1359711,147
29,New Hampshire,86900,8882190,8882190,33
30,New Jersey,87726,2096829,2096829,262
31,New Mexico,53113,19453561,19453561,146
32,New York,71855,10488084,10488084,550
33,North Carolina,61159,762062,762062,516
34,North Dakota,70031,11689100,11689100,26
35,Ohio,64663,3956971,3956971,521
36,Oklahoma,59397,4217737,4217737,264
37,Oregon,74413,12801989,12801989,98
38,Pennsylvania,70582,1059361,1059361,556
39,Rhode Island,70151,5148714,5148714,25
40,South Carolina,62028,884659,884659,445
41,South Dakota,64255,6829174,6829174,19
42,Tennessee,56627,28995881,28995881,498
43,Texas,67444,3205958,3205958,1379
44,Utah,84523,623989,623989,66
45,Vermont,74305,8535519,8535519,11
46,Virginia,81313,7614893,7614893,427
47,Washington,82454,1792147,1792147,194
48,West Virginia,53706,5822434,5822434,72
49,Wisconsin,67355,578759,578759,178
50,Wyoming,65134,578759,578759,13
