State,Population,Median Income,Median Home Value,Unemployment Rate,Total Murders,Burglaries,Property Crime,Murder Rate,Burglary Rate,Property Crime Rate
Alabama,731545,56200,134300,2.7,4,26079,131133,0.546787962,3564.920818,17925.48647
Alaska,7278717,78394,326000,6,69,3563,21294,0.947969264,1564.86,292.5515582
Arizona,3017804,70674,257600,4.6,337,28699,177638,11.16706055,2100.73,5886.333241
Arkansas,39512223,54539,129500,3.6,231,18095,86250,0.584629217,137.8,218.286883
California,5758736,78105,550800,3.9,1679,152555,921114,29.15570361,762.22,15995.07253
Colorado,3565287,72499,381300,2.5,209,20064,149189,5.862080668,1108.07,4184.487813
Connecticut,973764,87291,244800,3.7,104,6441,50862,10.68020588,3547.06,5223.236842
Delaware,705749,74194,236300,3.9,48,2968,21931,6.801284876,4878.93,3107.478721
District of Columbia,21477737,93111,567800,5.3,166,1843,30821,0.772893345,139.07,143.5020831
Florida,10617423,58368,237900,3,1,63396,460846,0.009418481,270.3,4340.469434
Georgia,1415872,56628,193500,3.2,445,39506,252249,31.42939475,2017.98,17815.80538
Hawaii,1787065,88006,619000,2.6,32,5340,40228,1.790645556,1544.43,2251.065294
Idaho,12671821,65988,274200,2.9,35,3927,21793,0.276203396,216.71,171.9800177
Illinois,6732219,74399,183500,3.7,771,34433,233984,11.45239036,399.84,3475.585093
Indiana,3155070,66693,148700,3.2,247,21795,132694,7.828669411,842.36,4205.7387
Iowa,2913314,66054,146500,2.7,58,11710,54699,1.990859894,906.67,1877.552505
Kansas,4467673,73151,141500,3.2,93,9984,67428,2.081620566,583.73,1509.24206
Kentucky,4648794,55662,148400,4.3,221,15443,84769,4.753921124,502.37,1823.462171
Louisiana,1344212,51707,147600,4.9,522,26918,146993,38.83316025,1621.4,10935.25426
Maine,6045680,66546,237800,2.9,20,2350,16743,0.330814731,331.87,276.9415517
Maryland,6892503,95572,290500,3.5,551,16862,117901,7.994193111,270.73,1710.568715
Massachusetts,9986857,87707,408100,2.8,146,12341,81317,1.461921403,181.19,814.2401558
Michigan,5639632,64119,154500,3.9,551,28572,158296,9.77014103,298.99,2806.849809
Minnesota,2976149,81426,239900,3.3,114,15927,117236,3.830453381,551.01,3939.184496
Mississippi,6137428,44787,130200,5.7,189,18660,70707,3.079465861,259.51,1152.062395
Missouri,1068778,60597,163700,3.3,566,26414,161946,52.9576769,1451.19,15152.44513
Montana,1934408,60195,242100,3.4,27,2887,23440,1.395775865,798.33,1211.740233
Nebraska,3080156,73071,169900,3.1,45,4745,39449,1.460964964,478.03,1280.746819
Nevada,1359711,70906,291800,3.8,147,15510,71525,10.81112089,1074.49,5260.308992
New Hampshire,8882190,86900,280400,2.6,33,1717,16442,0.371529994,156.49,185.112005
New Jersey,2096829,87726,329000,3.5,262,16399,118637,12.49505801,604.1,5657.924418
New Mexico,19453561,53113,197400,4.7,146,14610,65269,0.750505267,63.44,335.5118377
New York,10488084,71855,305300,4,550,27600,267155,5.244046482,111.65,2547.224069
North Carolina,762062,61159,189900,3.7,516,54447,247236,67.71102614,1310.13,32443.02957
North Dakota,11689100,70031,210000,2.4,26,2608,15066,0.222429443,75.89,128.8893071
Ohio,3956971,64663,142600,4.2,521,43894,240291,13.1666368,162.78,6072.599471
Oklahoma,4217737,59397,125400,3.4,264,26577,112587,6.259280747,139.67,2669.369854
Oregon,12801989,74413,350600,3.7,98,14724,115170,0.765506048,41.71,899.6258316
Pennsylvania,1059361,70582,176500,4.5,556,23354,179665,52.48446941,447.91,16959.75215
Rhode Island,5148714,70151,284200,3.5,25,2321,16259,0.485558141,76.27,315.7875928
South Carolina,884659,62028,170700,2.3,445,27461,151389,50.30186773,402.75,17112.6954
South Dakota,6829174,64255,194700,3.2,19,2646,15667,0.278218127,43.46,229.4128104
Tennessee,28995881,56627,170800,3.3,498,29869,181153,1.717485321,9.96,624.7542539
Texas,3205958,67444,199900,3.5,1379,113902,693204,43.01366393,82.53,21622.36686
Utah,623989,84523,351100,2.3,66,8871,69546,10.57710953,417.96,11145.38878
Vermont,8535519,74305,210600,2.3,11,1275,8888,0.128873241,27.53,104.129579
Virginia,7614893,81313,264200,2.6,427,13900,140213,5.607432698,30.48,1841.299674
Washington,1792147,82454,393800,4.3,194,34540,204224,10.82500487,102.84,11395.49378
West Virginia,5822434,53706,99000,5,72,5891,28376,1.236596241,29.49,487.3563187
Wisconsin,578759,67355,191600,3.4,178,12667,85672,30.75546125,241.21,14802.70717
Wyoming,"65,134",65134,236100,3.7,13,1396,9093,19.95885405,1957.5,13960.45076
