Index,State,Murder Count,Total Population,Homicide Rate,Unemployment Rate
0,Alabama,358,4903185,73.01376554,2.7
1,Alaska,69,731545,94.32092352,6
2,Arizona,365,7278717,50.14620022,4.6
3,Arkansas,242,3017804,80.19076123,3.6
4,California,"1,690",39512223,42.77157476,3.9
5,Colorado,218,5758736,37.85552941,2.5
6,Connecticut,104,3565287,29.17016218,3.7
7,Delaware,48,973764,49.29325791,3.9
8,District of Columbia,166,705749,235.211102,5.3
9,Florida,"1,122",21477737,52.24014057,3
10,Georgia,654,10617423,61.59686771,3.2
11,Hawaii,48,1415872,33.90136962,2.6
12,Idaho,35,1787065,19.58518577,2.9
13,Illinois,832,12671821,65.65749311,3.7
14,Indiana,377,6732219,55.99936663,3.2
15,Iowa,60,3155070,19.01701072,2.7
16,Kansas,105,2913314,36.04142911,3.2
17,Kentucky,221,4467673,49.46646722,4.3
18,Louisiana,544,4648794,117.0195969,4.9
19,Maine,20,1344212,14.87860546,2.9
20,Maryland,542,6045680,89.65079197,3.5
21,Massachusetts,152,6892503,22.05294651,2.8
22,Michigan,556,9986857,55.67317125,3.9
23,Minnesota,117,5639632,20.74603449,3.3
24,Mississippi,332,2976149,111.5535546,5.7
25,Missouri,568,6137428,92.54691053,3.3
26,Montana,27,1068778,25.26249605,3.4
27,Nebraska,45,1934408,23.26293109,3.1
28,Nevada,143,3080156,46.42621997,3.8
29,New Hampshire,33,1359711,24.26986323,2.6
30,New Jersey,262,8882190,29.49722985,3.5
31,New Mexico,181,2096829,86.32082063,4.7
32,New York,558,19453561,28.68369447,4
33,North Carolina,632,10488084,60.25886139,3.7
34,North Dakota,24,762062,31.49350053,2.4
35,Ohio,538,11689100,46.02578471,4.2
36,Oklahoma,266,3956971,67.22313608,3.4
37,Oregon,116,4217737,27.50290025,3.7
38,Pennsylvania,669,12801989,52.25750467,4.5
39,Rhode Island,25,1059361,23.59913193,3.5
40,South Carolina,464,5148714,90.11959103,2.3
41,South Dakota,17,884659,19.21644385,3.2
42,Tennessee,498,6829174,72.92243542,3.3
43,Texas,"1,409",28995881,48.59310879,3.5
44,Utah,72,3205958,22.45818567,2.3
45,Vermont,11,623989,17.62851589,2.3
46,Virginia,426,8535519,49.90909164,2.6
47,Washington,198,7614893,26.00167855,4.3
48,West Virginia,78,1792147,43.52321545,5
49,Wisconsin,175,5822434,30.05615864,3.4
50,Wyoming,13,578759,22.46185372,3.7
