State,Abbreviation,Average FICO Score,Median Home Value,Average Outstanding Mortgage Amount,Difference Between Value and Mortgage Balance, 
Hawaii,HI,723,619000,345963,273037, 
District of Columbia,DC,703,567800,421499,146301, 
California,CA,708,550800,363891,186909, 
Massachusetts,MA,723,408100,251922,156178, 
Washington,WA,723,393800,263681,130119, 
Colorado,CO,718,381300,259113,122187, 
Utah,UT,716,351100,216213,134887, 
Oregon,OR,718,350600,225597,125003, 
New Jersey,NJ,714,329000,239289,89711, 
Alaska,AK,707,326000,223167,102833, 
New York,NY,712,305300,237610,67690, 
Nevada,NV,686,291800,226812,64988, 
Maryland,MD,704,290500,252520,37980, 
Rhode Island,RI,713,284200,185777,98423, 
New Hampshire,NH,724,280400,179054,101346, 
Idaho,ID,711,274200,171193,103007, 
Virginia,VA,709,264200,242397,21803, 
Arizona,AZ,696,257600,202959,54641, 
Connecticut,CT,717,244800,224928,19872, 
Montana,MT,720,242100,180711,61389, 
Minnesota,MN,733,239900,175374,64526, 
Florida,FL,694,237900,188223,49677, 
Maine,MA,715,237800,138554,99246, 
Delaware,DE,701,236300,185527,50773, 
Wyoming,WY,712,236100,185414,50686, 
Vermont,VT,726,210600,147241,63359, 
North Dakota,ND,727,210000,162774,47226,
Texas,TX,680,199900,177924,21976, 
New Mexico,NM,686,197400,161271,36129, 
South Dakota,SD,727,194700,151489,43211, 
Georgia,GA,682,193500,175086,18414, 
Wisconsin,WI,725,191600,138789,52811, 
North Carolina,NC,694,189900,162520,27380, 
Illinois,IL,709,183500,176425,7075, 
Pennsylvania,PA,713,176500,145358,31142, 
Tennessee,TN,690,170800,157080,13720, 
South Carolina,SC,681,170700,160059,10641, 
Nebraska,NE,723,169900,139719,30181, 
Missouri,MO,701,163700,139545,24155, 
Michigan,MI,706,154500,132467,22033, 
Indiana,IN,699,148700,120567,28133, 
Kentucky,KY,692,148400,126485,21915, 
Louisiana,LA,677,147600,151851,-4251, 
Iowa,IA,720,146500,131494,15006, 
Ohio,OH,705,142600,122939,19661, 
Kansas,KS,711,141500,138437,3063, 
Alabama,AL,680,134300,141302,-7002, 
Mississippi,MS,667,130200,122107,8093, 
Arkansas,AR,683,129500,129383,117, 
Oklahoma,OK,682,125400,134811,-9411, 
West Virginia,WV,687,99000,110464,-11464,
