State,Property Crime
Alabama,131133
Alaska,21294
Arizona,177638
Arkansas,86250
California,921114
Colorado,149189
Connecticut,50862
Delaware,21931
District of Columbia,30821
Florida,460846
Georgia,252249
Hawaii,40228
Idaho,21793
Illinois,233984
Indiana,132694
Iowa,54699
Kansas,67428
Kentucky,84769
Louisiana,146993
Maine,16743
Maryland,117901
Massachusetts,81317
Michigan,158296
Minnesota,117236
Mississippi,70707
Missouri,161946
Montana,23440
Nebraska,39449
Nevada,71525
New Hampshire,16442
New Jersey,118637
New Mexico,65269
New York,267155
North Carolina,247236
North Dakota,15066
Ohio,240291
Oklahoma,112587
Oregon,115170
Pennsylvania,179665
Rhode Island,16259
South Carolina,151389
South Dakota,15667
Tennessee,181153
Texas,693204
Utah,69546
Vermont,8888
Virginia,140213
Washington,204224
West Virginia,28376
Wisconsin,85672
Wyoming,9093
