State,  Average FICO Score,  Median Home Value,  Average Outstanding Mortgage Amount,  Difference Between Value and Mortgage Balance, 
Hawaii,  723, 619000, 345963, 273037, 
District of Columbia, 703, 567800, 421499, 146301, 
California, 708, 550800, 363891, 186909, 
Massachusetts, 723, 408100, 251922, 156178, 
Washington, 723, 393800, 263681, 130119, 
Colorado,  718,  381300, 259113, 122187, 
Utah,  716,  351100,  216213,  134887, 
Oregon,  718,  350600,  225597,  125003, 
New Jersey,  714,  329000,  239289,  89711, 
Alaska,  707,  326000,  223167,  102833, 
New York,  712,  305300, 237610, 67690, 
Nevada, 686, 291800, 226812, 64988, 
Maryland, 704, 290500, 252520, 37980, 
Rhode Island, 713, 284200, 185777, 98423, 
New Hampshire, 724, 280400, 179054 , 101346, 
Idaho, 711, 274200, 171193, 103007, 
Virginia, 709, 264200, 242397, 21803, 
Arizona, 696, 257600, 202959, 54641, 
Connecticut, 717, 244800, 224928, 19872, 
Montana, 720, 242100, 180711, 61389, 
Minnesota, 733, 239900, 175374, 64526, 
Florida, 694, 237900, 188223, 49677, 
Maine, 715, 237800, 138554, 99246, 
Delaware, 701, 236300, 185527, 50773, 
Wyoming, 712, 236100, 185414, 50686, 
Vermont, 726, 210600, 147241, 63359, 
North Dakota, 727, 210000, 162774, 47226
Texas, 680, 199900, 177924, 21976, 
New Mexico, 686, 197400, 161271, 36129, 
South Dakota, 727, 194700, 151489, 43211, 
Georgia, 682, 193500, 175086, 18414, 
Wisconsin, 725, 191600, 138789, 52811, 
North Carolina, 694, 189900, 162520, 27380, 
Illinois, 709, 183500, 176425, 7075, 
Pennsylvania, 713, 176500, 145358, 31142, 
Tennessee, 690, 170800, 157080, 13720, 
South Carolina, 681, 170700, 160059, 10641, 
Nebraska, 723, 169900, 139719, 30181, 
Missouri, 701, 163700, 139545, 24155, 
Michigan, 706, 154500, 132467, 22033, 
Indiana, 699, 148700, 120567, 28133, 
Kentucky, 692, 148400, 126485, 21915, 
Louisiana, 677, 147600, 151851, -4251, 
Iowa, 720, 146500, 131494, 15006, 
Ohio, 705, 142600, 122939, 19661, 
Kansas, 711, 141500, 138437, 3063, 
Alabama, 680, 134300, 141302, -7002, 
Mississippi, 667, 130200, 122107, 8093, 
Arkansas, 683, 129500, 129383, 117, 
Oklahoma, 682, 125400, 134811, -9411, 
West Virginia,  687,  99000,  110464,  -11464
